Treatment	Length	Temp	pH	Generation	Stage
AA	0.34	18	8.2	0	C1
AA	0.33	18	8.2	0	C1
AA	0.33	18	8.2	0	C1
AA	0.36	18	8.2	0	C1
AA	0.35	18	8.2	0	C1
AA	0.36	18	8.2	0	C1
AA	0.35	18	8.2	0	C1
AA	0.36	18	8.2	0	C1
AA	0.33	18	8.2	0	C1
AA	0.35	18	8.2	0	C1
AA	0.85	18	8.2	0	C6F
AA	0.92	18	8.2	0	C6F
AA	0.92	18	8.2	0	C6F
AA	0.93	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.93	18	8.2	0	C6F
AA	0.92	18	8.2	0	C6F
AA	0.9	18	8.2	0	C6F
AA	0.87	18	8.2	0	C6F
AA	0.86	18	8.2	0	C6F
AA	0.91	18	8.2	0	C6F
AA	0.89	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.84	18	8.2	0	C6F
AA	0.75	18	8.2	0	C6F
AA	0.85	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.87	18	8.2	0	C6F
AA	0.86	18	8.2	0	C6F
AA	0.76	18	8.2	0	C6F
AA	0.93	18	8.2	0	C6F
AA	0.9	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.99	18	8.2	0	C6F
AA	0.9	18	8.2	0	C6F
AA	0.92	18	8.2	0	C6F
AA	0.83	18	8.2	0	C6F
AA	0.92	18	8.2	0	C6F
AA	0.9	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.87	18	8.2	0	C6F
AA	0.9	18	8.2	0	C6F
AA	0.84	18	8.2	0	C6F
AA	0.83	18	8.2	0	C6F
AA	0.87	18	8.2	0	C6F
AA	0.89	18	8.2	0	C6F
AA	0.87	18	8.2	0	C6F
AA	0.85	18	8.2	0	C6F
AA	0.88	18	8.2	0	C6F
AA	0.757	18	8.2	0	C6M
AA	0.913	18	8.2	0	C6M
AA	0.767	18	8.2	0	C6M
AA	0.769	18	8.2	0	C6M
AA	0.761	18	8.2	0	C6M
AA	0.794	18	8.2	0	C6M
AA	0.747	18	8.2	0	C6M
AA	0.74	18	8.2	0	C6M
AA	0.751	18	8.2	0	C6M
AA	0.935	18	8.2	0	C6M
AA	0.769	18	8.2	0	C6M
AA	0.771	18	8.2	0	C6M
AA	0.75	18	8.2	0	C6M
AA	0.768	18	8.2	0	C6M
AA	0.781	18	8.2	0	C6M
AA	0.781	18	8.2	0	C6M
AA	0.735	18	8.2	0	C6M
AA	0.741	18	8.2	0	C6M
AA	0.806	18	8.2	0	C6M
AA	0.759	18	8.2	0	C6M
AA	0.782	18	8.2	0	C6M
AA	0.763	18	8.2	0	C6M
AA	0.761	18	8.2	0	C6M
AA	0.726	18	8.2	0	C6M
AA	0.779	18	8.2	0	C6M
AA	0.741	18	8.2	0	C6M
AA	0.76	18	8.2	0	C6M
AA	0.742	18	8.2	0	C6M
AA	0.887	18	8.2	0	C6M
AA	0.853	18	8.2	0	C6M
AA	0.753	18	8.2	0	C6M
AA	0.763	18	8.2	0	C6M
AA	0.758	18	8.2	0	C6M
AA	0.749	18	8.2	0	C6M
AA	0.742	18	8.2	0	C6M
AA	0.774	18	8.2	0	C6M
AA	0.74	18	8.2	0	C6M
AA	0.76	18	8.2	0	C6M
AA	0.734	18	8.2	0	C6M
AH	0.34	18	7.5	0	C1
AH	0.36	18	7.5	0	C1
AH	0.35	18	7.5	0	C1
AH	0.35	18	7.5	0	C1
AH	0.35	18	7.5	0	C1
AH	0.36	18	7.5	0	C1
AH	0.36	18	7.5	0	C1
AH	0.34	18	7.5	0	C1
AH	0.92	18	7.5	0	C6F
AH	0.9	18	7.5	0	C6F
AH	0.91	18	7.5	0	C6F
AH	0.86	18	7.5	0	C6F
AH	0.91	18	7.5	0	C6F
AH	0.91	18	7.5	0	C6F
AH	0.89	18	7.5	0	C6F
AH	0.88	18	7.5	0	C6F
AH	0.89	18	7.5	0	C6F
AH	0.85	18	7.5	0	C6F
AH	0.86	18	7.5	0	C6F
AH	0.87	18	7.5	0	C6F
AH	0.87	18	7.5	0	C6F
AH	0.9	18	7.5	0	C6F
AH	0.9	18	7.5	0	C6F
AH	0.91	18	7.5	0	C6F
AH	0.83	18	7.5	0	C6F
AH	0.84	18	7.5	0	C6F
AH	0.91	18	7.5	0	C6F
AH	0.94	18	7.5	0	C6F
AH	0.77	18	7.5	0	C6F
AH	0.94	18	7.5	0	C6F
AH	0.94	18	7.5	0	C6F
AH	0.88	18	7.5	0	C6F
AH	0.93	18	7.5	0	C6F
AH	0.9	18	7.5	0	C6F
AH	0.92	18	7.5	0	C6F
AH	0.92	18	7.5	0	C6F
AH	0.85	18	7.5	0	C6F
AH	0.89	18	7.5	0	C6F
AH	0.87	18	7.5	0	C6F
AH	0.85	18	7.5	0	C6F
AH	0.89	18	7.5	0	C6F
AH	0.86	18	7.5	0	C6F
AH	0.88	18	7.5	0	C6F
AH	0.83	18	7.5	0	C6F
AH	0.781	18	7.5	0	C6M
AH	0.783	18	7.5	0	C6M
AH	0.768	18	7.5	0	C6M
AH	0.724	18	7.5	0	C6M
AH	0.747	18	7.5	0	C6M
AH	0.754	18	7.5	0	C6M
AH	0.804	18	7.5	0	C6M
AH	0.751	18	7.5	0	C6M
AH	0.746	18	7.5	0	C6M
AH	0.771	18	7.5	0	C6M
