"date","user","run","tube","lineage","replicate","rank","length","sex","time","ramp_rate","ctmax"
2022-11-21,"MCS",1,1,"HH",2,5,NA,NA,52.2333333333333,0.198426573426567,35.5902777777778
2022-11-21,"MCS",1,2,"AA",3,8,NA,NA,47.3,0.212412587412575,34.6041666666667
2022-11-21,"MCS",1,3,"HA",1,3,NA,NA,53.35,0.194405594405589,35.8229166666667
2022-11-21,"MCS",1,4,"AH",1,10,NA,NA,43.9833333333333,0.207867132867118,33.9045138888889
2022-11-21,"MCS",1,5,"AA",3,7,NA,NA,49.5,0.198251748251739,35.0416666666667
2022-11-21,"MCS",1,6,"AH",1,9,NA,NA,46.3666666666667,0.210839160839146,34.407196969697
2022-11-21,"MCS",1,7,"HA",1,2,NA,NA,53.75,0.194405594405589,35.8958333333333
2022-11-21,"MCS",1,8,"HH",2,1,NA,NA,53.8333333333333,0.194405594405589,35.9166666666667
2022-11-21,"MCS",1,9,"AH",1,6,NA,NA,50.25,0.20402097902097,35.1815476190476
2022-11-21,"MCS",1,10,"HH",2,4,NA,NA,52.95,0.198426573426567,35.7333333333333
