"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2023-02-03,"RAB",8,1,"AH",2,4,0.766,61.1666666666667,0.193881118881115,34.4270833333333
2023-02-03,"RAB",8,2,"AA",1,6,0.775,58.6166666666667,0.184615384615378,33.9464285714286
2023-02-03,"RAB",8,3,"HA",4,2,0.815,65.6833333333333,0.188286713286707,35.2569444444444
2023-02-03,"RAB",8,4,"HH",4,3,0.788,63.8166666666667,0.179545454545451,34.8888888888889
2023-02-03,"RAB",8,5,"HA",4,1,0.796,67.85,0.17849650349649,35.6041666666667
2023-02-03,"RAB",8,6,"AH",2,9,0.832,53.0666666666667,0.200174825174821,32.8520833333333
2023-02-03,"RAB",8,7,"HA",4,10,0.794,52.0833333333333,0.203846153846147,32.6325757575758
2023-02-03,"RAB",8,8,"AH",2,5,0.78,59.3,0.193706293706288,34.0659722222222
2023-02-03,"RAB",8,9,"AH",2,7,0.751,57.8333333333333,0.184090909090904,33.7578125
2023-02-03,"RAB",8,10,"AH",2,8,0.84,55.8833333333333,0.194230769230764,33.3958333333333
