"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2022-11-21,"MCS",1,1,"HH",2,5,0.742,52.2333333333333,0.198426573426567,35.5902777777778
2022-11-21,"MCS",1,2,"AA",3,8,0.779,47.3,0.212412587412575,34.6041666666667
2022-11-21,"MCS",1,3,"HA",1,3,0.828,53.35,0.194405594405589,35.8229166666667
2022-11-21,"MCS",1,4,"AH",1,10,0.838,43.9833333333333,0.207867132867118,33.9045138888889
2022-11-21,"MCS",1,5,"AA",3,7,0.764,49.5,0.198251748251739,35.0416666666667
2022-11-21,"MCS",1,6,"AH",1,9,0.84,46.3666666666667,0.210839160839146,34.407196969697
2022-11-21,"MCS",1,7,"HA",1,2,0.879,53.75,0.194405594405589,35.8958333333333
2022-11-21,"MCS",1,8,"HH",2,1,0.779,53.8333333333333,0.194405594405589,35.9166666666667
2022-11-21,"MCS",1,9,"AH",1,6,0.695,50.25,0.20402097902097,35.1815476190476
2022-11-21,"MCS",1,10,"HH",2,4,0.752,52.95,0.198426573426567,35.7333333333333
2022-11-28,"MCS",2,1,"HH",3,1,0.8,63.1166666666667,0.185139860139856,35.9166666666667
2022-11-28,"MCS",2,2,"AH",3,7,0.738,56.0166666666667,0.202972027972026,34.4583333333333
2022-11-28,"MCS",2,3,"HA",3,4,0.771,61.8,0.192832167832162,35.5885416666667
2022-11-28,"MCS",2,4,"HH",3,2,0.844,62.5,0.19510489510489,35.7604166666667
2022-11-28,"MCS",2,5,"AA",3,9,0.778,51.1166666666667,0.194230769230753,33.4875
2022-11-28,"MCS",2,6,"HH",3,3,0.767,62.05,0.19510489510489,35.6319444444444
2022-11-28,"MCS",2,7,"AA",3,6,0.774,56.8166666666667,0.202972027972026,34.6220238095238
2022-11-28,"MCS",2,8,"AA",3,10,0.828,50.4,0.199825174825159,33.3385416666667
2022-11-28,"MCS",2,9,"HA",3,5,0.84,59.25,0.19300699300699,35.0972222222222
2022-11-28,"MCS",2,10,"AA",3,8,0.786,54.5666666666667,0.20367132867132,34.1708333333333
2022-12-09,"RAB",3,1,"AH",2,7,NA,63.75,0.175699300699284,35.0364583333333
2022-12-09,"RAB",3,2,"HA",2,8,NA,61.4666666666667,0.184440559440546,34.61875
2022-12-09,"RAB",3,3,"AH",2,6,NA,65.5,0.172727272727258,35.3511904761905
2022-12-09,"RAB",3,4,"HH",3,2,NA,70.9666666666667,0.185139860139852,36.3333333333333
2022-12-09,"RAB",3,5,"HA",2,10,NA,49.95,0.211363636363632,32.3731060606061
2022-12-09,"RAB",3,6,"HA",2,5,NA,66.5166666666667,0.171153846153831,35.5416666666667
2022-12-09,"RAB",3,7,"HA",2,1,NA,74.5833333333333,0.168006993006987,36.9583333333333
2022-12-09,"RAB",3,8,"AA",3,9,NA,58.6666666666667,0.187587412587404,34.1041666666667
2022-12-09,"RAB",3,9,"AH",2,4,NA,67.8333333333333,0.180594405594393,35.7875
2022-12-09,"RAB",3,10,"HA",2,3,NA,70.55,0.185139860139852,36.28125
