"Date","Time","time_point","second_passed","minute_passed","minute_interval","sensor","temp_C","run"
2022-11-21,18H 56M 25S,1,0,0,0,"Temp1",23.5625,1
2022-11-21,18H 56M 25S,1,0,0,0,"Temp2",23.5625,1
2022-11-21,18H 56M 25S,1,0,0,0,"Temp3",23.4375,1
2022-11-21,18H 56M 30S,2,5,0.0833333333333333,0,"Temp1",23.5625,1
2022-11-21,18H 56M 30S,2,5,0.0833333333333333,0,"Temp2",23.625,1
2022-11-21,18H 56M 30S,2,5,0.0833333333333333,0,"Temp3",23.4375,1
2022-11-21,18H 56M 35S,3,10,0.166666666666667,0,"Temp1",23.5625,1
2022-11-21,18H 56M 35S,3,10,0.166666666666667,0,"Temp2",23.625,1
2022-11-21,18H 56M 35S,3,10,0.166666666666667,0,"Temp3",23.5,1
2022-11-21,18H 56M 40S,4,15,0.25,0,"Temp1",23.625,1
2022-11-21,18H 56M 40S,4,15,0.25,0,"Temp2",23.625,1
2022-11-21,18H 56M 40S,4,15,0.25,0,"Temp3",23.5,1
2022-11-21,18H 56M 45S,5,20,0.333333333333333,0,"Temp1",23.625,1
2022-11-21,18H 56M 45S,5,20,0.333333333333333,0,"Temp2",23.6875,1
2022-11-21,18H 56M 45S,5,20,0.333333333333333,0,"Temp3",23.5,1
2022-11-21,18H 56M 50S,6,25,0.416666666666667,0,"Temp1",23.625,1
2022-11-21,18H 56M 50S,6,25,0.416666666666667,0,"Temp2",23.6875,1
2022-11-21,18H 56M 50S,6,25,0.416666666666667,0,"Temp3",23.5,1
2022-11-21,18H 56M 55S,7,30,0.5,0,"Temp1",23.6875,1
2022-11-21,18H 56M 55S,7,30,0.5,0,"Temp2",23.6875,1
2022-11-21,18H 56M 55S,7,30,0.5,0,"Temp3",23.5625,1
2022-11-21,18H 57M 0S,8,35,0.583333333333333,0,"Temp1",23.625,1
2022-11-21,18H 57M 0S,8,35,0.583333333333333,0,"Temp2",23.6875,1
2022-11-21,18H 57M 0S,8,35,0.583333333333333,0,"Temp3",23.5625,1
2022-11-21,18H 57M 5S,9,40,0.666666666666667,0,"Temp1",23.75,1
2022-11-21,18H 57M 5S,9,40,0.666666666666667,0,"Temp2",23.75,1
2022-11-21,18H 57M 5S,9,40,0.666666666666667,0,"Temp3",23.5625,1
2022-11-21,18H 57M 10S,10,45,0.75,0,"Temp1",23.75,1
2022-11-21,18H 57M 10S,10,45,0.75,0,"Temp2",23.75,1
2022-11-21,18H 57M 10S,10,45,0.75,0,"Temp3",23.625,1
2022-11-21,18H 57M 15S,11,50,0.833333333333333,0,"Temp1",23.75,1
2022-11-21,18H 57M 15S,11,50,0.833333333333333,0,"Temp2",23.8125,1
2022-11-21,18H 57M 15S,11,50,0.833333333333333,0,"Temp3",23.625,1
2022-11-21,18H 57M 20S,12,55,0.916666666666667,0,"Temp1",23.8125,1
2022-11-21,18H 57M 20S,12,55,0.916666666666667,0,"Temp2",23.8125,1
2022-11-21,18H 57M 20S,12,55,0.916666666666667,0,"Temp3",23.6875,1
2022-11-21,18H 57M 25S,13,60,1,1,"Temp1",23.75,1
2022-11-21,18H 57M 25S,13,60,1,1,"Temp2",23.8125,1
2022-11-21,18H 57M 25S,13,60,1,1,"Temp3",23.6875,1
2022-11-21,18H 57M 30S,14,65,1.08333333333333,1,"Temp1",23.8125,1
2022-11-21,18H 57M 30S,14,65,1.08333333333333,1,"Temp2",23.875,1
2022-11-21,18H 57M 30S,14,65,1.08333333333333,1,"Temp3",23.6875,1
2022-11-21,18H 57M 35S,15,70,1.16666666666667,1,"Temp1",23.875,1
2022-11-21,18H 57M 35S,15,70,1.16666666666667,1,"Temp2",23.875,1
2022-11-21,18H 57M 35S,15,70,1.16666666666667,1,"Temp3",23.75,1
2022-11-21,18H 57M 40S,16,75,1.25,1,"Temp1",23.9375,1
2022-11-21,18H 57M 40S,16,75,1.25,1,"Temp2",23.875,1
2022-11-21,18H 57M 40S,16,75,1.25,1,"Temp3",23.75,1
2022-11-21,18H 57M 45S,17,80,1.33333333333333,1,"Temp1",23.9375,1
2022-11-21,18H 57M 45S,17,80,1.33333333333333,1,"Temp2",23.875,1
2022-11-21,18H 57M 45S,17,80,1.33333333333333,1,"Temp3",23.8125,1
2022-11-21,18H 57M 50S,18,85,1.41666666666667,1,"Temp1",23.9375,1
2022-11-21,18H 57M 50S,18,85,1.41666666666667,1,"Temp2",23.9375,1
2022-11-21,18H 57M 50S,18,85,1.41666666666667,1,"Temp3",23.8125,1
2022-11-21,18H 57M 55S,19,90,1.5,1,"Temp1",23.9375,1
2022-11-21,18H 57M 55S,19,90,1.5,1,"Temp2",24,1
2022-11-21,18H 57M 55S,19,90,1.5,1,"Temp3",23.8125,1
2022-11-21,18H 58M 0S,20,95,1.58333333333333,1,"Temp1",23.9375,1
2022-11-21,18H 58M 0S,20,95,1.58333333333333,1,"Temp2",24,1
2022-11-21,18H 58M 0S,20,95,1.58333333333333,1,"Temp3",23.875,1
2022-11-21,18H 58M 5S,21,100,1.66666666666667,1,"Temp1",24,1
2022-11-21,18H 58M 5S,21,100,1.66666666666667,1,"Temp2",24.0625,1
2022-11-21,18H 58M 5S,21,100,1.66666666666667,1,"Temp3",23.875,1
2022-11-21,18H 58M 10S,22,105,1.75,1,"Temp1",24,1
2022-11-21,18H 58M 10S,22,105,1.75,1,"Temp2",24.0625,1
2022-11-21,18H 58M 10S,22,105,1.75,1,"Temp3",23.875,1
2022-11-21,18H 58M 15S,23,110,1.83333333333333,1,"Temp1",24,1
2022-11-21,18H 58M 15S,23,110,1.83333333333333,1,"Temp2",24.125,1
2022-11-21,18H 58M 15S,23,110,1.83333333333333,1,"Temp3",23.875,1
2022-11-21,18H 58M 20S,24,115,1.91666666666667,1,"Temp1",24.0625,1
2022-11-21,18H 58M 20S,24,115,1.91666666666667,1,"Temp2",24.0625,1
2022-11-21,18H 58M 20S,24,115,1.91666666666667,1,"Temp3",23.9375,1
2022-11-21,18H 58M 25S,25,120,2,2,"Temp1",24.0625,1
2022-11-21,18H 58M 25S,25,120,2,2,"Temp2",24.0625,1
2022-11-21,18H 58M 25S,25,120,2,2,"Temp3",24,1
2022-11-21,18H 58M 30S,26,125,2.08333333333333,2,"Temp1",24.0625,1
2022-11-21,18H 58M 30S,26,125,2.08333333333333,2,"Temp2",24.125,1
2022-11-21,18H 58M 30S,26,125,2.08333333333333,2,"Temp3",24,1
2022-11-21,18H 58M 35S,27,130,2.16666666666667,2,"Temp1",24.125,1
2022-11-21,18H 58M 35S,27,130,2.16666666666667,2,"Temp2",24.125,1
2022-11-21,18H 58M 35S,27,130,2.16666666666667,2,"Temp3",24,1
2022-11-21,18H 58M 40S,28,135,2.25,2,"Temp1",24.125,1
2022-11-21,18H 58M 40S,28,135,2.25,2,"Temp2",24.1875,1
2022-11-21,18H 58M 40S,28,135,2.25,2,"Temp3",24.0625,1
2022-11-21,18H 58M 45S,29,140,2.33333333333333,2,"Temp1",24.125,1
2022-11-21,18H 58M 45S,29,140,2.33333333333333,2,"Temp2",24.1875,1
2022-11-21,18H 58M 45S,29,140,2.33333333333333,2,"Temp3",24.0625,1
2022-11-21,18H 58M 50S,30,145,2.41666666666667,2,"Temp1",24.1875,1
2022-11-21,18H 58M 50S,30,145,2.41666666666667,2,"Temp2",24.1875,1
2022-11-21,18H 58M 50S,30,145,2.41666666666667,2,"Temp3",24.0625,1
2022-11-21,18H 58M 55S,31,150,2.5,2,"Temp1",24.1875,1
2022-11-21,18H 58M 55S,31,150,2.5,2,"Temp2",24.25,1
2022-11-21,18H 58M 55S,31,150,2.5,2,"Temp3",24.125,1
2022-11-21,18H 59M 0S,32,155,2.58333333333333,2,"Temp1",24.25,1
2022-11-21,18H 59M 0S,32,155,2.58333333333333,2,"Temp2",24.25,1
2022-11-21,18H 59M 0S,32,155,2.58333333333333,2,"Temp3",24.125,1
2022-11-21,18H 59M 5S,33,160,2.66666666666667,2,"Temp1",24.25,1
2022-11-21,18H 59M 5S,33,160,2.66666666666667,2,"Temp2",24.25,1
